service_date,day_class,table,field,empty,dash
2024-11-20,laboral,viajes,zona_inicio_viaje,0,1090
2024-11-20,laboral,viajes,zona_fin_viaje,0,975523
2024-11-20,laboral,viajes,netapassinbajada,0,0
2024-11-20,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-20,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-20,laboral,viajes,id_tarjeta,0,0
2024-11-20,laboral,viajes,id_viaje,0,0
2024-11-20,laboral,etapas,tipo_dia,0,0
2024-11-20,laboral,etapas,tipo_transporte,0,0
2024-11-20,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-20,laboral,etapas,fExpansionZonaPeriodoTS,0,1068800
2024-11-20,laboral,etapas,tiene_bajada,0,0
2024-11-20,laboral,etapas,tiempo2,0,0
2024-11-20,laboral,etapas,tiempo_subida,0,0
2024-11-20,laboral,etapas,tiempo_bajada,0,1061358
2024-11-20,laboral,etapas,tiempo_etapa,0,1061358
2024-11-20,laboral,etapas,x_subida,0,0
2024-11-20,laboral,etapas,y_subida,0,0
2024-11-20,laboral,etapas,x_bajada,0,1061358
2024-11-20,laboral,etapas,y_bajada,0,1061358
2024-11-20,laboral,etapas,dist_ruta_paraderos,0,1061358
2024-11-20,laboral,etapas,dist_eucl_paraderos,0,1061358
2024-11-20,laboral,etapas,comuna_subida,0,1323
2024-11-20,laboral,etapas,comuna_bajada,0,1068957
2024-11-20,laboral,etapas,zona_subida,0,1384
2024-11-20,laboral,etapas,zona_bajada,0,1068987
2024-11-20,laboral,etapas,periodoSubida,0,0
2024-11-20,laboral,etapas,periodoBajada,0,1061358
2024-11-20,laboral,etapas,id_etapa,0,0
2024-11-20,laboral,etapas,correlativo_viajes,0,0
2024-11-21,laboral,viajes,tipodia,0,0
2024-11-21,laboral,viajes,factor_expansion,0,0
2024-11-21,laboral,viajes,n_etapas,0,0
2024-11-21,laboral,viajes,tviaje,0,3587955
2024-11-21,laboral,viajes,tviaje2,0,1475763
2024-11-21,laboral,viajes,distancia_eucl,0,961610
2024-11-21,laboral,viajes,distancia_ruta,0,0
2024-11-21,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-21,laboral,viajes,tiempo_fin_viaje,0,961703
2024-11-21,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-21,laboral,viajes,periodo_fin_viaje,0,0
2024-11-21,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-21,laboral,viajes,comuna_fin_viaje,0,0
2024-11-21,laboral,viajes,zona_inicio_viaje,0,1138
2024-11-21,laboral,viajes,zona_fin_viaje,0,966640
2024-11-21,laboral,viajes,netapassinbajada,0,0
2024-11-21,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-21,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-21,laboral,viajes,id_tarjeta,0,0
2024-11-21,laboral,viajes,id_viaje,0,0
2024-11-21,laboral,etapas,tipo_dia,0,0
2024-11-21,laboral,etapas,tipo_transporte,0,0
2024-11-21,laboral,etapas,fExpansionServicioPeriodoTS,0,0
